id,like_comp,fleet,phase,value,sizefreq_method
02-mls-ss3-1979,1,15,1,1,1
02-mls-ss3-1979,4,1,1,1,0
02-mls-ss3-1979,4,2,1,1,0
02-mls-ss3-1979,4,3,1,1,0
02-mls-ss3-1979,4,5,1,1,0
02-mls-ss3-1979,4,6,1,1,0
02-mls-ss3-1979,4,7,1,1,0
02-mls-ss3-1979,4,8,1,1,0
02-mls-ss3-1979,4,10,1,1,0
02-mls-ss3-1979,4,11,1,1,0
02-mls-ss3-1979,4,12,1,1,0
02-mls-ss3-1979,4,13,1,1,0
02-mls-ss3-1979,4,14,1,1,0
02-mls-ss3-1979,4,15,1,1,0
02-mls-ss3-1979,6,2,1,1,1
02-mls-ss3-1979,6,10,1,1,1
02-mls-ss3-1979,6,1,1,1,1
02-mls-ss3-1979,6,3,1,1,1
02-mls-ss3-1979,6,15,1,1,1
02-mls-ss3-1979,6,9,1,1,1
02-mls-ss3-1979,6,6,1,1,1
02-mls-ss3-1979,6,7,1,1,1
