Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10-CAAL
Catch_like,0.205734,0.00870146,0.00095969,0.0308551,0.0153767,0.00146673,0.000669046,0.000710815,0.000547275,0.000395018,0.00239465,0.000836774,0.00410341,0.000855183,0.000307078,0.137555,0,10-CAAL
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10-CAAL
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-CAAL
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10-CAAL
Surv_like,-26.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.468,10-CAAL
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10-CAAL
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-CAAL
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,10-CAAL
Length_like,111.031,0,0,13.725,0,6.34217,0,0,0,0,19.913,42.4585,0,0,28.5925,0,0,10-CAAL
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,10-CAAL
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-CAAL
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10-CAAL
Age_like,0.153392,0,0,0,0,0,0,0,0,0.0452318,0.0773122,0,0.0308481,0,0,0,0,10-CAAL
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,10-CAAL
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-CAAL
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,10-CAAL
SizeFreq_like:_1,752.246,,87.7749,33.2778,,,328.778,187.574,,55.4238,51.945,,,,,,7.47192,10-CAAL
